timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1602997755156,104,29,48,-984,328,116
1602997755227,71,29,49,-980,332,116
1602997755289,62,29,49,-980,332,116
1602997755362,73,29,48,-984,328,116
1602997755428,66,29,48,-984,324,112
1602997755539,111,29,49,-992,324,112
1602997755612,73,29,48,-992,328,108
1602997755677,65,29,48,-988,332,116
1602997755745,68,29,48,-992,324,112
1602997755809,64,29,49,-984,332,124
1602997755932,123,29,49,-992,328,116
1602997755994,62,29,48,-984,332,116
1602997756064,70,29,48,-984,332,116
1602997756132,68,29,49,-988,320,116
1602997756203,71,29,49,-984,336,120
1602997756323,120,29,48,-984,320,112
1602997756393,70,29,48,-988,328,116
1602997756458,65,29,48,-984,328,120
1602997756525,67,29,49,-988,324,120
1602997756591,66,29,48,-988,328,112
1602997756712,121,29,48,-984,332,120
1602997756775,63,29,48,-984,324,112
1602997756847,72,29,48,-984,332,120
1602997756913,66,29,48,-984,328,108
1602997756978,65,29,48,-988,332,124
1602997757099,121,29,48,-984,328,112
1602997757229,130,29,48,-988,332,116
1602997757293,64,29,48,-984,332,124
1602997757363,70,29,49,-984,324,116
1602997757432,69,29,48,-988,324,112
1602997757554,122,29,48,-988,328,112
1602997757622,68,29,48,-992,324,116
1602997757688,66,29,48,-984,332,116
1602997757766,78,29,49,-988,328,120
1602997757832,66,29,49,-992,328,112
1602997757960,128,29,48,-988,324,120
1602997758028,68,29,49,-984,328,120
1602997758098,70,29,49,-984,332,120
1602997758166,68,29,48,-984,332,116
1602997758231,65,29,48,-984,328,116
1602997758349,118,29,48,-988,328,120
1602997758416,67,29,49,-980,328,116
1602997758486,70,29,49,-988,328,116
1602997758554,68,29,48,-984,324,116
1602997758625,71,29,49,-988,336,120
1602997758756,131,29,48,-980,324,116
1602997758827,71,29,49,-980,324,116
1602997758893,66,29,48,-988,332,116
1602997758963,70,29,48,-992,332,112
1602997759031,68,29,49,-984,328,120
1602997759161,130,29,49,-988,324,116
1602997759226,65,29,49,-980,332,116
1602997759298,72,29,48,-988,328,120
1602997759363,65,29,48,-984,328,112
1602997759431,68,29,49,-984,328,120
1602997759557,126,29,49,-988,324,116
1602997759619,62,29,49,-988,328,112
1602997759692,73,29,49,-988,336,120
1602997759757,65,29,48,-984,328,108
1602997759823,66,29,48,-992,328,112
1602997759946,123,29,49,-988,316,116
1602997760013,67,29,48,-980,332,116
1602997760079,66,29,48,-984,324,120
1602997760156,77,29,49,-992,328,116
1602997760221,65,29,49,-988,324,116
1602997760350,129,29,49,-988,332,116
1602997760417,67,29,49,-984,332,120
1602997760489,72,29,48,-992,324,112
1602997760555,66,29,49,-988,324,116
1602997760620,65,29,49,-992,328,116
1602997760762,142,29,48,-980,332,108
1602997760828,66,29,48,-992,328,112
1602997760894,66,29,49,-988,324,116
1602997760960,66,29,49,-988,328,116
1602997761033,73,29,49,-988,328,112
1602997761166,133,29,48,-984,328,116
1602997761236,70,29,49,-988,324,120
1602997761298,62,29,49,-988,332,116
1602997761365,67,29,48,-984,324,112
1602997761431,66,29,48,-988,328,120
1602997761565,134,29,49,-992,328,120
1602997761627,62,29,48,-992,328,120
1602997761696,69,29,48,-984,332,120
1602997761758,62,29,49,-988,324,116
1602997761824,66,29,49,-988,328,120
1602997761954,130,29,49,-980,328,116
1602997762020,66,29,49,-984,324,108
1602997762085,65,29,49,-988,332,124
1602997762152,67,29,49,-980,336,116
1602997762229,77,29,48,-988,324,124
1602997762351,122,29,48,-988,328,116
1602997762419,68,29,48,-988,332,116
1602997762487,68,29,49,-980,324,120
1602997762557,70,29,48,-988,332,112
1602997762623,66,29,49,-984,332,116
1602997762761,138,29,48,-992,324,112
1602997762825,64,29,49,-980,332,124
1602997762896,71,29,48,-984,328,116
1602997762961,65,29,48,-988,324,112
1602997763028,67,29,49,-988,332,116
1602997763154,126,29,48,-984,332,120
1602997763219,65,29,48,-984,328,112
1602997763285,66,29,48,-992,328,112
1602997763350,65,29,48,-988,320,112
1602997763422,72,29,49,-980,328,116
1602997763559,137,29,49,-988,328,112
1602997763630,71,29,48,-988,332,120
1602997763699,69,29,49,-992,328,112
1602997763767,68,29,49,-992,328,120
1602997763834,67,29,48,-984,332,112
1602997763988,154,29,48,-988,332,112
1602997764052,64,29,49,-984,324,116
1602997764119,67,29,49,-988,328,116
1602997764185,66,29,49,-984,328,112
1602997764255,70,29,50,-1408,320,200
1602997764395,140,29,51,-1024,260,216
1602997764464,69,29,51,-980,276,188
1602997764529,65,29,49,-1012,304,104
1602997764596,67,29,52,-1004,376,116
1602997764662,66,29,53,-1000,252,196
1602997764806,144,29,51,-1092,504,104
1602997764869,63,29,57,-1124,416,140
1602997764943,74,29,69,-1148,468,304
1602997765006,63,29,61,-1104,404,-156
1602997765072,66,29,72,-1356,428,8
1602997765207,135,29,74,-904,296,116
1602997765274,67,29,83,-844,156,-72
1602997765340,66,29,97,-808,92,8
1602997765404,64,29,96,-920,156,-208
1602997765474,70,29,108,-1028,240,64
1602997765622,148,29,110,-1032,260,-104
1602997765689,67,29,115,-980,216,96
1602997765758,69,29,113,-916,260,36
1602997765828,70,29,126,-492,284,76
1602997765893,65,29,114,-1544,432,236
1602997766029,136,29,108,-996,296,212
1602997766094,65,29,103,-1132,360,28
1602997766161,67,29,101,-884,244,128
1602997766228,67,29,98,-992,364,148
1602997766298,70,29,105,-828,412,252
1602997766436,138,29,79,-732,436,312
1602997766506,70,29,57,-732,404,512
1602997766574,68,29,62,-884,388,200
1602997766644,70,29,53,-920,408,108
1602997766710,66,29,34,-1172,380,568
1602997766839,129,29,40,-1004,428,160
1602997766906,67,29,42,-784,408,152
1602997766970,64,29,35,-1448,476,344
1602997767036,66,29,46,-548,456,0
1602997767097,61,29,31,-1224,484,160
1602997767259,162,29,29,-1112,444,240
1602997767322,63,29,35,-920,472,36
1602997767394,72,29,38,-876,440,32
1602997767459,65,29,31,-1052,404,200
1602997767525,66,29,43,-828,460,-12
1602997767679,154,29,40,-996,412,48
1602997767749,70,29,41,-932,424,108
1602997767817,68,29,37,-1036,344,188
1602997767888,71,29,42,-1040,452,72
1602997767954,66,29,43,-1024,364,148
1602997768091,137,29,42,-992,356,368
1602997768156,65,29,59,-716,284,-44
1602997768220,64,29,59,-776,280,36
1602997768288,68,29,61,-920,296,368
1602997768353,65,29,64,-1004,388,168
1602997768502,149,29,74,-396,456,124
1602997768566,64,29,67,-928,316,148
1602997768638,72,29,74,-1360,-932,156
1602997768703,65,29,70,-1100,176,140
1602997768770,67,29,73,-1040,224,116
1602997768909,139,29,73,-1016,228,108
1602997768979,70,29,74,-1012,200,124
1602997769043,64,29,74,-1024,184,132
1602997769114,71,29,74,-1012,204,128
1602997769181,67,29,74,-1016,200,116
1602997769340,159,29,74,-1016,196,124
1602997769405,65,29,74,-1000,204,132
1602997769471,66,29,75,-1024,152,152
1602997769538,67,29,73,-1012,200,128
1602997769609,71,29,74,-1012,212,124
1602997769760,151,29,74,-1008,196,136
1602997769828,68,29,74,-1004,196,136
1602997769893,65,29,74,-1012,196,152
1602997769960,67,29,74,-1012,184,136
1602997770026,66,29,74,-1004,196,132
1602997770164,138,29,74,-1004,188,144
1602997770228,64,29,75,-1008,196,148
1602997770299,71,29,74,-1012,192,148
1602997770367,68,29,74,-1024,200,136
1602997770437,70,29,74,-1008,196,136
1602997770579,142,29,74,-1008,188,144
1602997770652,73,29,74,-1012,192,144
1602997770716,64,29,75,-1012,196,136
1602997770788,72,29,74,-1012,192,136
1602997770853,65,29,74,-1012,192,144
1602997771009,156,29,74,-1008,192,148
